RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
33,79537252,Turner,510,Spain,Female,50,10,226543.86,1,1,1,147026.6,0
34,69248434,Roy,535,Germany,Female,45,0,161698.46,2,1,0,178417.1,0
35,71306900,Bose,492,Spain,Male,74,2,229036.61,2,0,1,101579.99,0
36,65831368,Brown,631,Germany,Male,58,8,29424.37,1,1,1,157858.31,0
37,20959014,Bose,376,France,Male,21,5,177311.88,3,0,1,67877.41,0
38,66972561,White,595,Spain,Female,37,0,231860.32,4,1,0,176202.16,0
39,58900483,Sharma,836,France,Female,52,8,115701.44,3,1,0,73403.05,1
40,30193880,Roy,551,France,Male,70,6,241880.08,3,0,1,81307.89,1
41,13385357,Turner,370,Germany,Male,56,0,138128.31,1,0,0,149179.56,0
42,54738553,Sharma,443,Germany,Female,70,0,235743.54,4,0,0,154596.58,0
43,78574553,Roy,357,France,Male,27,4,187129.55,2,0,1,29468.44,0
44,26845364,Roy,821,Germany,Male,82,10,114440.24,4,1,1,47030.78,1
45,62157313,Gupta,688,Germany,Male,18,3,8572.85,2,1,0,64948.1,1
46,21392366,Morgan,608,France,Male,70,7,164347.94,2,0,1,199975.89,1
47,79778859,Sharma,404,France,Male,63,1,63569.65,1,0,0,168040.1,0
48,98883975,Khan,897,Germany,Male,43,5,72163.81,3,1,0,148708.51,1
49,23479854,Khan,355,France,Male,19,7,4945.99,3,1,1,193418.73,0
50,83506850,Adams,726,France,Female,45,0,139413.11,4,1,1,143694.99,0
51,23187277,Lopez,399,Germany,Male,44,2,72323.59,3,1,1,144495.99,0
52,78979792,White,461,Spain,Female,45,0,245597.11,2,0,1,181672.19,0
53,47709731,Sharma,495,Spain,Female,48,6,187251.92,1,0,0,74352.18,0
54,36939239,Taylor,579,France,Male,64,0,89371.82,3,0,0,20316.52,0
55,33027075,Roy,846,Germany,Female,24,8,73612.15,3,1,0,148690.43,0
56,91200125,Mehta,655,France,Male,89,7,178743.32,2,0,0,48100.41,0
57,96191493,Khan,891,Germany,Female,65,10,63551.95,4,0,1,71703.23,0
58,97796277,Gupta,810,France,Female,43,2,112001.46,3,0,1,168050.83,1
59,76401385,Allen,575,France,Male,72,3,40096.33,2,1,1,160024.71,0
60,32335235,Mehta,408,Germany,Female,24,8,63527.08,4,0,0,105459.33,1
61,10271836,Roy,425,France,Male,74,9,24596.33,3,1,1,38780.7,0
62,13584702,Patel,777,Spain,Female,75,5,106786.96,2,1,0,73695.77,0
63,62631083,Allen,481,Spain,Male,18,4,231695.72,2,0,1,105595.13,0
64,18585377,Mehta,847,Germany,Male,89,4,25215.06,3,1,1,158272.19,0
65,96544585,Brown,654,France,Female,46,0,109332.66,2,1,0,197248.33,0
66,95157821,Roy,416,Spain,Male,39,0,74580.63,3,0,1,132604.91,0
67,97655395,Sharma,579,Germany,Male,57,2,90740.99,3,0,0,29605.24,0
68,27824013,Hall,682,Germany,Female,79,1,192871.46,4,1,0,59803.69,1
69,46601694,Morgan,626,Germany,Male,31,9,108760.79,1,1,1,66716.36,0
70,77105583,Lopez,493,Spain,Female,19,0,162598.32,3,0,1,134198.57,0
71,70304654,Adams,600,Spain,Female,52,4,243049.36,3,0,1,23316.52,0
72,44119117,Lopez,429,Spain,Female,88,10,154115.19,4,1,0,111180.53,0
73,46433622,Adams,406,Spain,Male,84,2,84347.19,1,1,1,199229.51,0
74,99482491,Lopez,715,France,Female,39,6,99413.93,1,1,0,158361.77,0
75,70031992,Turner,657,Spain,Male,35,7,173977.28,2,1,1,158486.67,0
76,65105831,Taylor,523,Germany,Female,63,9,173583.52,1,0,0,154169.16,0
77,13366612,Sharma,811,France,Female,80,5,92025.71,1,1,1,143011.63,0
78,68743503,Cruz,842,Spain,Female,53,4,181116.88,2,1,1,73706.12,0
79,46258670,Patel,723,France,Male,63,9,137643.96,1,1,1,160923.15,0
80,79739572,Adams,698,Germany,Female,54,4,245105.09,4,1,0,136259.46,0
81,65848857,Turner,416,Spain,Male,35,0,227022.77,3,0,0,61202.55,0
82,67055419,Morgan,679,France,Male,60,5,205963.27,4,0,0,196219.97,0
83,59160571,Patel,543,Spain,Male,46,5,8583.61,1,0,0,197214.4,0
84,78394024,Singh,504,France,Male,35,2,95108.65,2,0,1,87304.2,0
85,74525468,Sharma,509,France,Male,32,3,143322.79,4,1,0,155572.99,0
86,99966606,Sharma,615,Germany,Female,76,3,130404.05,4,0,1,142646.07,0
87,48727468,Gupta,517,Germany,Male,45,5,190891.42,3,0,1,125103.86,1
88,61757120,Patel,494,Spain,Female,70,7,227270.96,2,1,1,52553.38,0
89,77157848,Taylor,535,Spain,Female,32,8,196785.74,4,1,0,104212.49,0
90,87897542,Taylor,772,France,Male,60,8,55050.27,1,1,0,151387.69,1
91,83665032,Lopez,806,Germany,Female,50,4,121403.04,3,1,1,197900.93,0
92,95390464,Sharma,694,Germany,Female,19,7,98402.9,4,1,1,130450.79,1
93,58170987,Cruz,865,France,Male,76,7,191550.16,1,0,1,155393.51,0
94,62562567,Hall,453,Germany,Male,25,9,223781.01,4,0,0,184500.49,0
95,33717335,Bose,596,Germany,Female,50,3,71706.94,4,0,1,130480.73,0
96,70472382,Bose,372,France,Male,52,3,122227.46,2,1,1,157613.74,0
97,22719242,Mehta,874,Spain,Male,35,2,182979.6,4,1,0,102451.19,0
98,58715250,Cruz,493,Spain,Female,38,4,12488.24,2,0,1,72540.46,1
99,93139152,Roy,542,Spain,Male,81,7,240767.97,1,0,1,108747.11,0
100,54054178,White,814,France,Male,45,7,199990.99,2,1,1,36012.66,0
101,48334882,Hall,724,Spain,Male,62,8,135691.61,1,1,1,187399.5,1
102,62441466,Verma,615,France,Male,37,0,194662.62,2,0,0,75877.19,0
103,59583876,Adams,727,France,Male,21,3,209089.49,2,1,1,102985.87,0
104,96117865,Morgan,899,Germany,Male,53,5,123458.83,2,0,0,137608.18,0
105,73203558,Cruz,423,Germany,Female,69,4,110017.92,2,0,1,110809.02,0
106,47407771,Cruz,787,Spain,Male,56,3,209425.87,3,0,1,70900.44,0
107,93122310,Sharma,575,France,Female,88,10,214918.0,4,0,0,197172.51,0
108,37009224,Verma,657,Spain,Female,29,2,30906.88,3,0,0,172692.89,0
109,61327755,Sharma,697,Spain,Female,72,1,226960.52,1,1,1,38501.76,0
110,89018913,Gupta,825,Germany,Female,65,8,69198.49,1,0,1,86130.0,0
111,17130144,Roy,664,Spain,Male,26,9,166791.85,4,0,0,54972.74,0
112,14545583,Singh,874,Spain,Female,29,2,177327.61,1,1,1,106161.04,0
113,64079037,Cruz,774,Germany,Male,86,3,69930.91,1,1,1,57583.27,0
114,64474455,White,873,Spain,Female,74,0,76044.02,2,1,1,76209.22,0
115,51542436,Singh,598,Spain,Female,45,0,176575.17,4,1,0,113761.74,0
116,56626914,Sharma,531,France,Male,34,9,43769.0,2,0,0,45935.27,0
117,63933927,Gupta,455,Spain,Male,39,8,214603.33,4,0,0,174970.06,1
118,62453338,Adams,540,Germany,Female,52,10,55723.85,2,0,0,85277.06,0
119,24881728,Das,486,Germany,Male,76,3,87793.11,4,0,1,184573.96,1
120,44045666,Brown,469,France,Female,36,9,66664.61,1,1,0,25416.25,0
121,22722094,Hall,421,Germany,Male,67,3,61324.47,3,1,1,158906.1,0
122,32178434,Khan,480,Germany,Male,43,5,244716.56,1,1,1,175691.23,0
123,56321408,Verma,806,Germany,Female,77,1,63331.12,4,0,1,197222.64,1
124,22796932,Gupta,828,Spain,Male,61,5,144582.26,3,1,0,43736.59,1
125,84023414,Sharma,401,France,Female,73,6,186345.35,3,0,0,98074.81,0
126,36063245,Gupta,468,France,Male,60,0,10493.62,2,0,1,156855.58,0
127,49443226,Patel,613,France,Female,40,7,220393.0,4,1,0,112440.56,0
128,83619289,Verma,588,France,Female,91,5,38222.28,2,1,1,167742.3,0
129,17887739,Sharma,700,Germany,Female,39,8,147016.44,4,0,1,197102.63,0
130,70736972,Khan,604,Spain,Male,64,3,160282.03,1,1,0,156196.35,1
131,71071026,Singh,658,Germany,Female,72,10,157391.46,4,0,1,153593.95,0
132,10769598,Sharma,844,Germany,Female,28,1,183361.53,1,1,0,122221.24,0
133,99178975,Sharma,406,Germany,Male,72,8,232809.39,3,0,1,103369.07,0
134,59007334,Das,752,Germany,Female,43,7,231722.01,3,0,0,170304.08,0
135,38433648,Hall,416,France,Female,18,1,144519.5,2,1,1,61917.9,0
136,17971379,Taylor,395,France,Female,79,7,92479.69,3,0,1,175061.3,0
137,13331068,Cruz,718,Spain,Male,38,10,80376.16,3,1,0,170723.73,1
138,46810847,White,581,Germany,Male,25,7,221671.81,1,1,0,152693.84,0
139,44428803,Hall,751,France,Female,37,4,213282.17,4,1,1,145259.2,0
140,15654237,Bose,372,Spain,Male,62,6,73955.48,1,1,0,21454.72,0
141,71553124,Turner,616,Germany,Female,82,6,38087.45,3,1,1,198275.54,0
142,55816038,Sharma,467,Germany,Male,77,3,215285.53,4,1,1,90544.22,1
143,27750764,Bose,404,France,Female,84,5,152087.29,3,1,1,88368.29,0
144,46898446,Mehta,502,Germany,Female,73,9,78284.72,3,0,1,197907.09,1
145,33841962,Roy,588,Germany,Female,48,5,152662.21,1,0,0,63540.05,0
146,76834972,Morgan,614,France,Male,39,5,16549.21,4,0,0,191563.71,0
147,53156515,Mehta,617,Spain,Female,79,8,47534.19,1,1,0,89334.48,0
148,32993420,Bose,462,Spain,Female,73,1,136447.03,2,0,1,37673.34,0
149,72190751,Morgan,515,France,Male,89,9,134792.08,2,1,1,114153.07,0
150,31970758,Taylor,357,France,Male,25,7,61667.11,2,1,1,147121.43,1
151,46513466,White,566,Spain,Female,79,7,245522.14,2,1,1,129629.6,0
152,41288562,Lopez,780,Spain,Male,41,0,103109.15,1,0,1,191390.72,1
153,31351509,Roy,641,France,Female,39,10,177134.53,2,0,0,89069.6,0
154,33484187,Verma,399,France,Male,32,1,64614.21,1,1,1,99560.82,0
155,71777469,Sharma,456,France,Male,45,3,106119.34,4,0,1,64267.61,1
156,46093880,White,358,Germany,Female,39,4,207805.65,4,0,1,124011.25,0
157,60441204,Mehta,805,France,Female,48,4,212149.35,1,0,1,189136.4,0
158,91752859,Cruz,672,Germany,Female,90,5,33814.86,4,0,1,82210.63,0
159,54066131,Verma,658,Spain,Male,79,6,88667.49,2,1,1,40692.57,0
160,85415325,Singh,494,Spain,Female,86,0,50787.61,1,0,1,85901.82,0
161,45563453,Taylor,761,France,Male,56,6,222567.11,3,1,0,178975.87,1
162,44755914,Morgan,463,France,Female,57,5,188465.34,4,0,0,182031.06,0
163,60873983,Brown,748,Spain,Female,86,4,140827.77,2,0,0,41953.0,0
164,63892568,Allen,624,Spain,Female,72,5,162521.02,2,0,1,157615.4,0
165,33637222,Sharma,473,Spain,Male,88,10,228538.7,3,1,1,45495.51,1
166,12484413,Singh,435,Spain,Female,81,7,75818.87,2,0,0,179196.16,0
167,80016224,Hall,396,France,Male,25,5,3418.75,1,1,0,105536.75,0
168,49449976,Das,550,Germany,Female,88,4,6588.83,4,0,1,181777.91,1
169,99583549,Bose,625,Spain,Female,61,5,11671.83,1,0,0,33409.42,0
170,12235000,Gupta,898,Spain,Male,55,8,32120.23,1,0,1,33751.3,0
171,33685747,Mehta,479,Germany,Male,38,0,142718.56,4,1,1,188360.25,0
172,47876684,Sharma,797,France,Male,21,2,245271.62,2,1,1,159021.52,0
173,82931048,Verma,738,Germany,Female,49,2,104979.34,3,0,1,46196.65,0
174,39859174,Morgan,612,France,Female,72,8,178104.13,3,0,0,180288.77,0
175,46102853,Lopez,627,France,Male,77,2,198044.28,2,1,1,173681.34,0
176,56159303,Hall,395,France,Female,76,5,200349.26,1,1,1,116801.19,0
177,22195226,Bose,517,France,Male,84,8,110824.06,4,1,0,49711.21,0
178,57936136,Mehta,794,France,Male,22,9,137486.5,4,0,1,96038.55,0
179,79062973,Bose,395,Spain,Female,89,4,82188.48,1,1,0,119047.68,0
180,24421668,Patel,889,France,Male,54,9,171965.25,2,1,1,57720.51,1
181,31200096,Adams,436,Spain,Female,44,10,95716.87,2,1,1,174522.82,0
182,93375337,Patel,734,France,Male,30,8,77765.89,1,0,1,170039.33,0
183,33234510,Khan,614,Spain,Female,23,8,156825.79,2,0,1,24194.97,0
184,61715898,Hall,371,Germany,Male,82,5,85313.86,3,1,0,23536.69,0
185,55968757,Roy,799,Germany,Female,47,7,101999.85,3,1,1,98631.32,0
186,10061087,Morgan,581,Spain,Male,69,8,177718.42,4,1,1,186357.05,0
187,90705119,White,535,France,Female,58,8,213333.63,2,1,1,158261.48,0
188,76653416,Khan,675,Spain,Female,32,7,108700.41,1,1,1,192523.97,0
189,95382256,Das,532,Spain,Female,22,3,130550.0,3,1,1,71113.23,0
190,20274621,Adams,746,France,Male,32,7,186595.63,4,1,0,194269.53,0
191,23022704,Gupta,830,Germany,Female,18,1,56237.09,2,0,0,115671.26,0
192,26816569,Cruz,752,Spain,Male,32,2,103751.43,1,0,1,129982.69,1
193,17654909,Sharma,812,Germany,Male,77,8,202864.25,2,1,1,61202.09,0
194,47814054,Cruz,766,Germany,Male,65,9,223620.77,4,0,1,103048.33,0
195,94302960,Khan,551,Germany,Female,71,3,161226.14,2,0,1,156120.86,0
196,25421040,Lopez,414,Spain,Male,72,1,98348.85,2,1,0,83197.78,1
197,34210512,Roy,366,Spain,Male,89,2,151480.68,4,0,1,32540.02,0
198,82073914,Gupta,532,France,Female,44,6,44710.5,2,0,1,170795.58,1
199,77922032,Singh,740,France,Female,47,8,7323.95,2,1,0,26011.02,1
200,43779713,Sharma,393,Spain,Female,77,6,18653.81,1,0,0,37332.52,1
201,21506305,Turner,831,France,Female,83,7,27043.1,3,1,1,134678.12,1
202,30560091,Allen,612,Germany,Male,63,2,56414.87,1,1,0,140330.35,0
203,96881845,Das,523,Germany,Male,69,6,115431.43,4,0,0,118971.73,0
204,17734102,Patel,790,Spain,Male,52,0,58077.1,3,1,0,33996.65,0
205,15674719,Verma,569,Germany,Male,59,5,146257.95,2,0,1,159833.68,0
206,18658144,Morgan,743,Spain,Male,73,2,249574.96,2,0,0,127677.3,0
207,50163712,Hall,544,Spain,Female,62,1,124545.27,4,0,1,140685.45,0
208,99386386,Hall,758,Spain,Male,69,3,189213.84,1,0,0,20522.16,1
209,95447809,Lopez,820,Germany,Female,40,10,73100.39,1,1,1,35821.55,0
210,98917675,Sharma,696,Spain,Female,46,8,240719.93,3,1,1,149767.19,0
211,54165849,Bose,811,Spain,Male,46,5,62276.37,2,0,1,141999.38,0
212,82586911,Taylor,410,France,Male,74,8,149157.75,1,1,0,55703.74,0
213,78227907,Khan,515,Germany,Male,36,7,245832.67,2,1,0,110876.94,0
214,88826934,Allen,500,Spain,Female,25,4,202061.4,2,1,0,76232.92,1
215,59905866,Taylor,460,France,Female,67,7,248008.33,2,1,1,132482.53,0
216,91121402,Hall,837,Spain,Female,24,1,94934.5,3,1,1,163547.95,0
217,50657662,Sharma,898,Germany,Male,28,7,19407.87,4,1,1,53846.29,0
218,16659908,Taylor,352,France,Female,84,0,60872.66,2,0,0,136874.95,0
219,41378291,Morgan,832,France,Female,83,10,239403.38,4,0,1,98189.74,0
220,73020641,Mehta,362,Spain,Female,45,2,92644.51,4,1,1,54695.8,0
221,46634821,Mehta,511,Spain,Female,73,6,31193.41,3,0,1,91374.74,0
222,29433354,Mehta,693,Germany,Male,45,3,148276.2,1,1,1,38761.07,1
223,26887294,Adams,798,Germany,Female,57,10,125105.9,4,1,1,138379.25,0
224,83422991,Turner,681,Spain,Male,19,6,15617.27,4,1,1,199675.55,1
225,45562619,Cruz,613,France,Male,78,0,113236.41,4,0,1,151987.83,0
226,45213498,Das,432,Germany,Male,42,6,158217.17,1,0,1,173357.81,1
227,45703247,Taylor,683,Germany,Male,71,2,58171.99,2,0,1,60637.98,0
228,50910172,White,729,France,Female,34,1,31110.18,2,0,1,39113.8,0
229,72744322,Sharma,568,Spain,Male,65,8,216199.19,3,0,0,20386.38,1
230,67805563,Sharma,803,Germany,Male,29,1,156362.02,2,1,1,151326.63,0
231,16404003,Turner,438,France,Female,78,2,38814.21,2,0,0,168165.05,1
232,81244178,Patel,682,Germany,Female,19,2,157277.02,2,0,1,54035.89,0
233,61939266,Mehta,659,France,Female,82,3,183813.97,3,0,0,106091.14,0
234,43267858,Gupta,769,Germany,Female,69,10,149382.01,3,1,0,125304.81,0
235,31114003,Taylor,703,Spain,Male,51,6,29039.2,2,0,1,192473.97,0
236,96641503,White,449,France,Female,62,6,31186.19,2,0,1,184509.92,0
237,20421958,Adams,494,Germany,Female,18,8,11286.22,4,1,0,22832.9,0
238,87809459,White,359,Germany,Male,69,9,58501.0,1,0,0,28860.43,0
239,22984808,Sharma,393,France,Male,84,7,14912.27,3,0,0,192602.22,0
240,24764960,Morgan,735,France,Female,73,5,201325.87,1,1,0,30457.91,0
241,60402943,Das,844,Spain,Male,75,5,3851.38,2,1,1,124760.35,0
242,86241446,Roy,842,France,Female,67,4,145254.24,2,0,0,34269.5,0
243,63777024,Gupta,518,Germany,Female,42,1,202458.35,2,1,1,140036.86,0
244,93494666,Das,880,Spain,Male,29,5,223715.75,2,0,0,53157.7,0
245,80721464,Morgan,685,France,Male,90,5,102363.76,3,0,1,26146.93,0
246,94711896,White,862,Germany,Male,82,4,155231.07,2,0,1,70189.6,0
247,89214742,White,479,France,Male,73,5,237791.79,1,0,1,115641.56,0
248,53799966,Sharma,888,Germany,Female,67,4,167902.61,4,0,0,116300.08,1
249,20047453,Brown,863,Germany,Female,45,10,225273.09,4,0,0,157437.55,0
250,45581225,White,599,Spain,Male,20,3,171073.0,1,0,1,30886.38,1
251,44109026,Singh,487,Spain,Female,55,2,16999.32,1,0,1,21472.93,0
252,52090758,Taylor,624,France,Male,81,0,49220.75,4,0,0,148557.3,0
253,26037627,Taylor,813,Spain,Female,71,10,235112.76,3,0,0,191763.27,0
254,90337039,Brown,490,France,Female,53,3,211067.23,1,1,0,54687.63,0
255,30281689,Patel,605,Spain,Female,61,8,105680.45,3,1,0,46983.08,1
256,67631343,Mehta,805,Spain,Female,61,6,40281.42,4,1,1,81731.9,0
257,81450611,Singh,783,France,Female,86,6,39292.6,3,0,0,146401.94,0
258,56510960,Lopez,522,Spain,Female,70,6,226215.5,4,1,0,157123.85,0
259,42797855,Allen,822,Spain,Male,30,3,41551.97,2,0,0,188604.2,0
260,44795514,Taylor,772,Spain,Male,61,6,96569.99,3,1,0,164346.45,0
261,15184502,Patel,788,Spain,Male,21,10,225201.08,3,0,0,24996.55,0
262,33448674,Taylor,406,France,Female,87,1,8358.22,3,1,0,57147.93,1
263,65223954,Hall,847,Germany,Male,68,7,157685.29,2,1,0,83995.39,0
264,40948143,Taylor,518,France,Female,87,9,87648.9,2,0,1,190444.08,0
265,22503247,Turner,777,France,Female,28,7,26945.83,2,1,0,129009.8,0
266,64006163,Adams,768,France,Female,71,8,141880.98,1,1,1,199337.13,0
267,61910807,Gupta,696,Spain,Male,79,4,121225.3,4,0,1,77171.85,0
268,64847136,Cruz,866,Spain,Female,76,9,24800.38,1,0,0,185848.96,0
269,83150359,Das,804,Germany,Female,78,7,66802.82,3,0,0,145754.18,0
270,40831219,Gupta,551,Spain,Male,57,1,185089.05,4,1,1,179671.65,0
271,33101383,Turner,528,Germany,Male,21,9,188962.56,1,1,1,186072.47,0
272,27569187,Mehta,406,Germany,Male,44,9,149670.68,2,1,1,101544.46,1
273,64710375,Roy,850,Spain,Female,33,7,27621.79,1,0,1,176951.58,0
274,64456147,Roy,461,Germany,Female,24,9,213272.95,2,0,0,196983.03,0
275,88110973,Sharma,497,France,Male,28,8,43176.0,1,0,1,140081.06,0
276,49501026,White,727,France,Female,89,5,180234.6,2,1,0,66628.2,1
277,43163773,Turner,697,France,Female,81,5,10646.07,1,1,1,68478.1,0
278,21310552,Mehta,707,Germany,Female,69,3,82957.46,3,1,1,155431.52,0
279,41146082,Mehta,405,Germany,Male,23,7,119590.4,4,1,0,79156.91,0
280,31104792,White,665,France,Female,65,6,6991.01,1,0,1,93988.41,0
281,31739356,White,534,Spain,Male,86,8,42888.41,1,1,1,114773.96,0
282,21471761,Singh,403,France,Male,23,0,79727.56,4,1,0,184103.28,0
283,29576703,Khan,386,Spain,Male,78,9,245626.84,3,1,1,148037.76,0
284,85092305,Cruz,619,Spain,Female,83,7,194868.96,3,0,1,72377.58,0
285,82429249,Adams,857,Germany,Female,90,7,210174.12,2,1,0,44061.7,0
286,28877237,Verma,577,Germany,Female,70,8,166879.22,3,1,0,72164.14,1
287,56918818,Lopez,777,Spain,Male,45,6,73098.63,4,0,1,80033.72,0
288,33705256,Roy,350,Spain,Male,22,8,177361.98,1,0,1,151871.72,0
289,94504547,Gupta,372,Spain,Female,75,9,168435.24,4,1,0,96544.17,0
290,87633091,Lopez,852,Germany,Female,41,7,152487.8,2,0,0,199628.57,0
291,89452960,Roy,797,France,Male,48,8,74580.38,1,1,1,26208.91,0
292,65403796,Singh,845,Spain,Female,58,8,65803.59,2,0,0,83765.26,0
293,33508102,White,774,Germany,Male,85,0,84074.81,2,1,0,35467.79,0
294,19405634,Cruz,367,France,Male,63,2,78099.26,3,0,1,84210.18,0
295,15853584,Bose,794,Germany,Male,27,5,19458.15,1,1,1,98068.53,1
296,34947744,Cruz,388,France,Male,54,10,200569.5,2,0,0,180406.28,0
297,58491183,Taylor,559,Germany,Female,38,6,92314.27,2,0,0,96565.2,1
298,47856186,Mehta,560,France,Male,38,3,176659.2,2,1,1,24590.57,0
299,58673237,Verma,630,Spain,Male,27,9,69981.11,4,0,0,191933.84,1
300,75293686,Gupta,482,Germany,Female,41,1,150504.08,2,1,1,46146.09,0
301,11983509,Adams,798,France,Male,29,3,8668.4,3,0,0,159267.84,0
302,28298917,Khan,613,France,Male,37,5,26509.59,3,1,1,56048.27,1
303,53563237,Adams,460,France,Male,87,3,91132.43,1,0,1,186200.03,0
304,87729132,Mehta,587,Spain,Male,25,9,67184.2,2,1,1,60778.04,0
305,87275698,Hall,806,Germany,Female,22,1,88350.79,1,1,1,173929.83,0
306,83214389,Verma,865,France,Female,71,8,232673.04,1,1,0,94620.35,0
307,36365210,White,522,Spain,Female,53,0,18475.2,3,1,0,100485.76,1
308,68245345,Allen,542,Spain,Female,55,9,115682.71,2,1,1,133257.33,0
309,37180308,Cruz,864,Spain,Male,20,6,49564.16,3,1,1,107735.8,1
310,21326237,Das,758,Spain,Male,53,8,88959.63,4,1,0,80613.79,1
311,96343264,Sharma,433,Spain,Female,39,2,169258.72,2,1,0,63668.79,0
312,71864219,Adams,429,Spain,Male,25,10,243234.78,2,1,1,67922.28,0
313,64434670,Turner,558,Spain,Female,78,5,173681.93,1,0,0,146641.87,1
314,97692768,Khan,871,Germany,Male,24,8,221211.11,1,0,0,39574.83,0
315,43255876,Cruz,548,Germany,Female,85,8,36814.67,3,1,0,121081.86,0
316,59114107,Mehta,583,Spain,Female,79,3,45347.9,4,1,1,88311.77,0
317,25900476,Singh,593,France,Female,36,7,219192.12,3,0,0,83561.91,0
318,50820227,Gupta,742,France,Female,64,7,151880.59,4,0,0,148788.45,1
319,89688895,Gupta,795,France,Male,41,10,198029.85,2,1,0,110580.99,0
320,97927856,Adams,742,Spain,Male,23,6,55714.95,1,0,1,33894.77,0
321,63059071,Mehta,358,France,Male,25,5,87148.74,1,0,1,183722.15,0
322,99595920,Patel,502,Germany,Female,42,2,20258.63,2,1,0,181643.54,0
323,22707035,Morgan,459,Germany,Female,91,3,223896.36,4,0,1,96564.15,0
324,15130397,Taylor,615,Germany,Male,58,8,239088.86,3,1,1,22476.06,0
325,80560220,Verma,722,Germany,Male,75,9,214365.96,2,0,1,30845.27,0
326,46998516,Bose,501,Spain,Male,77,6,109295.08,1,0,1,108487.47,0
327,46481541,Taylor,764,Germany,Male,20,10,85283.68,4,0,0,34657.13,0
328,76385640,Gupta,675,France,Female,26,7,115650.19,3,1,0,99780.8,0
329,76880548,Brown,525,France,Female,69,5,159404.38,2,1,1,54154.59,0
330,88384476,Cruz,874,Germany,Male,75,0,107876.84,1,0,1,164444.93,0
331,52058334,Cruz,664,Germany,Male,77,10,105405.07,4,0,1,86163.3,0
332,59742523,Cruz,416,Germany,Male,66,8,107759.77,3,0,1,88127.92,0
333,49769056,Brown,533,France,Female,22,10,186144.3,2,1,0,24488.24,0
334,65174259,Lopez,384,France,Male,79,2,196697.72,3,0,1,137677.53,0
335,66688830,Das,854,Germany,Female,49,2,217634.58,2,0,1,159223.6,0
336,53369428,Allen,425,France,Female,44,8,60746.82,4,0,0,67425.67,0
337,24650271,White,821,France,Male,41,3,39376.19,1,0,0,131023.3,0
338,41725526,Khan,872,Spain,Male,55,7,86281.98,2,0,1,136441.16,0
339,89348896,Bose,632,Germany,Male,84,10,105112.0,2,0,1,133339.77,0
340,28992383,Sharma,885,Germany,Female,33,3,175466.91,4,0,1,145695.24,0
341,80995266,Gupta,623,Spain,Male,32,1,189482.61,4,0,0,161297.86,1
